"Length"/t"Freq"
"1"/t"1"/t52
"2"/t"2"/t160
"3"/t"3"/t1427
"4"/t"4"/t5285
"5"/t"5"/t10237
"6"/t"6"/t17712
"7"/t"7"/t23881
"8"/t"8"/t29999
"9"/t"9"/t32411
"10"/t"10"/t30882
"11"/t"11"/t26018
"12"/t"12"/t20468
"13"/t"13"/t14941
"14"/t"14"/t9767
"15"/t"15"/t5926
"16"/t"16"/t3376
"17"/t"17"/t1814
"18"/t"18"/t842
"19"/t"19"/t428
"20"/t"20"/t198
"21"/t"21"/t82
"22"/t"22"/t41
"23"/t"23"/t17
"24"/t"24"/t5
"25"/t"28"/t1
